00001.jpg,39,116,569,375,13
00002.jpg,36,116,868,587,2
00003.jpg,85,109,601,381,90
00004.jpg,621,393,1484,1096,133
00005.jpg,14,36,133,99,105
00006.jpg,259,289,515,416,122
00007.jpg,88,80,541,397,88
00008.jpg,73,79,591,410,95
00009.jpg,20,126,1269,771,166
00010.jpg,21,110,623,367,57
00011.jpg,51,93,601,393,48
00012.jpg,6,62,499,286,185
00013.jpg,30,36,418,307,134
00014.jpg,31,246,778,540,84
00015.jpg,32,77,589,379,192
00016.jpg,27,49,611,396,171
00017.jpg,39,52,233,150,13
00018.jpg,3,8,190,147,72
00019.jpg,247,287,1366,761,191
00020.jpg,17,281,961,596,56
00021.jpg,17,156,695,375,78
00022.jpg,212,538,1893,1131,35
00023.jpg,11,28,476,234,119
00024.jpg,53,126,973,621,169
00025.jpg,34,87,567,343,193
00026.jpg,30,174,598,379,133
00027.jpg,80,107,606,336,183
00028.jpg,45,115,585,382,85
00029.jpg,28,139,1564,1126,179
00030.jpg,82,109,874,521,193
00031.jpg,55,318,446,564,153
00032.jpg,12,31,471,350,138
00033.jpg,34,197,1011,656,65
00034.jpg,37,63,614,397,132
00035.jpg,223,87,1111,670,153
00036.jpg,138,41,521,223,103
00037.jpg,31,87,616,344,37
00038.jpg,16,89,459,326,96
00039.jpg,53,113,614,350,104
00040.jpg,214,110,660,403,141
00041.jpg,61,55,566,408,12
00042.jpg,28,61,622,371,190
00043.jpg,22,39,588,362,118
00044.jpg,220,193,537,364,37
00045.jpg,12,108,489,297,185
00046.jpg,28,80,759,466,24
00047.jpg,84,248,1102,899,193
00048.jpg,142,69,753,451,176
00049.jpg,166,543,887,903,172
00050.jpg,20,96,564,341,41
00051.jpg,41,181,607,465,90
00052.jpg,39,29,774,395,147
00053.jpg,161,191,425,307,14
00054.jpg,58,562,1528,1081,96
00055.jpg,80,120,582,391,41
00056.jpg,32,48,472,267,52
00057.jpg,260,138,972,439,43
00058.jpg,11,35,256,173,64
00059.jpg,68,91,607,354,89
00060.jpg,129,120,345,269,123
00061.jpg,11,104,1011,742,113
00062.jpg,19,21,425,265,189
00063.jpg,175,330,928,647,100
00064.jpg,97,39,925,700,186
00065.jpg,63,175,417,320,7
00066.jpg,30,39,221,125,16
00067.jpg,129,89,594,432,110
00068.jpg,32,43,598,350,121
00069.jpg,142,124,675,445,4
00070.jpg,220,313,1054,976,28
00071.jpg,8,12,639,299,125
00072.jpg,92,271,1178,749,93
00073.jpg,15,12,314,230,105
00074.jpg,14,12,309,223,105
00075.jpg,45,74,522,253,187
00076.jpg,12,27,284,166,58
00077.jpg,25,25,3502,2017,109
00078.jpg,36,88,611,417,42
00079.jpg,165,126,749,425,132
00080.jpg,20,21,292,217,110
00081.jpg,10,55,540,271,7
00082.jpg,63,113,597,413,191
00083.jpg,55,48,294,205,17
00084.jpg,27,67,620,474,115
00085.jpg,15,80,629,402,48
00086.jpg,119,300,1416,871,144
00087.jpg,17,36,455,215,48
00088.jpg,171,176,2373,1751,169
00089.jpg,49,195,1003,617,19
00090.jpg,5,43,296,211,113
00091.jpg,49,57,494,419,164
00092.jpg,101,84,492,272,137
00093.jpg,23,53,258,144,174
00094.jpg,19,60,783,440,111
00095.jpg,110,171,1213,648,121
00096.jpg,39,67,346,206,103
00097.jpg,3,7,76,50,56
00098.jpg,65,37,578,360,50
00099.jpg,27,60,486,364,36
00100.jpg,22,180,454,355,70
00101.jpg,70,39,940,742,192
00102.jpg,99,130,396,222,104
00103.jpg,85,107,609,381,60
00104.jpg,1,76,480,315,73
00105.jpg,57,266,967,623,132
00106.jpg,69,75,236,161,161
00107.jpg,24,17,249,163,130
00108.jpg,7,27,212,147,87
00109.jpg,18,14,248,168,120
00110.jpg,19,2,591,387,179
00111.jpg,52,6,759,513,179
00112.jpg,231,103,430,226,136
00113.jpg,91,148,700,582,132
00114.jpg,19,72,624,397,70
00115.jpg,26,90,376,243,82
00116.jpg,132,120,667,401,109
00117.jpg,84,44,663,342,41
00118.jpg,87,235,591,412,176
00119.jpg,173,370,1207,960,146
00120.jpg,3,19,195,114,160
00121.jpg,49,143,487,455,108
00122.jpg,72,67,233,176,27
00123.jpg,151,568,1954,1271,143
00124.jpg,14,88,271,178,52
00125.jpg,135,761,1894,1353,28
00126.jpg,44,123,778,487,65
00127.jpg,69,103,537,322,78
00128.jpg,86,78,355,284,12
00129.jpg,50,80,592,273,135
00130.jpg,95,161,543,368,142
00131.jpg,275,195,863,474,170
00132.jpg,99,78,557,389,88
00133.jpg,11,126,426,360,134
00134.jpg,1,2,267,185,160
00135.jpg,19,735,2669,2192,57
00136.jpg,21,35,279,195,121
00137.jpg,45,99,593,403,177
00138.jpg,130,282,1425,900,55
00139.jpg,72,215,628,481,183
00140.jpg,62,95,633,434,190
00141.jpg,13,106,476,260,39
00142.jpg,78,300,952,633,59
00143.jpg,72,51,566,412,154
00144.jpg,66,59,283,202,70
00145.jpg,135,36,1181,885,139
00146.jpg,2,5,298,162,41
00147.jpg,8,12,770,309,75
00148.jpg,24,78,608,379,186
00149.jpg,34,1,242,179,85
00150.jpg,11,208,596,386,7
00151.jpg,8,37,294,150,4
00152.jpg,23,66,499,311,46
00153.jpg,6,138,627,361,29
00154.jpg,17,105,385,243,17
00155.jpg,76,4,1585,1120,148
00156.jpg,22,21,211,139,173
00157.jpg,32,130,973,661,137
00158.jpg,75,236,1196,846,178
00159.jpg,37,139,988,694,23
00160.jpg,114,46,546,287,41
00161.jpg,12,83,629,354,72
00162.jpg,38,66,548,385,175
00163.jpg,46,84,661,428,0
00164.jpg,13,29,239,174,36
00165.jpg,27,65,490,220,35
00166.jpg,4,69,402,245,107
00167.jpg,19,27,429,258,40
00168.jpg,110,96,565,389,39
00169.jpg,2,22,140,81,118
00170.jpg,48,71,615,453,118
00171.jpg,41,42,262,170,18
00172.jpg,6,108,493,267,162
00173.jpg,26,61,508,342,119
00174.jpg,13,29,249,159,53
00175.jpg,69,120,739,502,115
00176.jpg,45,85,1005,558,65
00177.jpg,98,22,650,302,49
00178.jpg,5,28,285,148,121
00179.jpg,42,113,601,439,154
00180.jpg,3,40,297,157,141
00181.jpg,84,256,913,752,67
00182.jpg,43,226,1001,630,169
00183.jpg,2,9,196,125,160
00184.jpg,34,51,604,344,160
00185.jpg,24,35,620,438,132
00186.jpg,6,72,255,178,124
00187.jpg,4,408,1600,934,159
00188.jpg,25,162,1241,764,92
00189.jpg,18,15,583,421,182
00190.jpg,198,416,1271,935,44
00191.jpg,129,75,654,422,142
00192.jpg,37,24,259,212,188
00193.jpg,82,107,990,723,47
00194.jpg,187,327,1211,769,175
00195.jpg,150,339,1313,771,76
00196.jpg,26,46,266,213,189
00197.jpg,47,102,492,371,109
00198.jpg,91,121,574,357,5
00199.jpg,151,298,1285,835,190
00200.jpg,30,55,301,187,15
00201.jpg,21,1,386,200,11
00202.jpg,233,217,1228,807,89
00203.jpg,30,167,945,545,187
00204.jpg,11,61,284,151,127
00205.jpg,29,70,612,356,22
00206.jpg,117,222,558,434,10
00207.jpg,31,119,438,258,92
00208.jpg,26,151,360,256,7
00209.jpg,58,136,973,636,62
00210.jpg,8,80,639,366,172
00211.jpg,11,47,598,365,175
